구,한방기관_10만명당
강남구,69.8607454446843
강동구,39.28806005633303
강서구,35.97375904089259
관악구,29.216639293458186
구로구,30.021325493281434
도봉구,27.135425629078586
동대문구,43.52703350120941
동작구,34.92076185906407
마포구,43.31600693056111
서대문구,29.50801192256302
성동구,34.75130866112353
성북구,28.937450041390044
영등포구,40.214908470868316
용산구,29.997541185148762
은평구,33.73077617780254
종로구,82.55126868265555
중구,81.939114221453
송파구,40.00457195108012
중랑구,30.971389847737235
양천구,36.6022823970998
서초구,64.00525774990865
노원구,30.266158140676286
광진구,35.79076538100623
강북구,32.6007611569018
금천구,32.08141550334404
